,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
56,15,주얼리,귀걸이,ARTTI,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200609/1478243/1478243_1_500.jpg?t=20200609152721
57,15,신발,슬리퍼,FERKER,,2020 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20200523/1459840/1459840_1_500.jpg?t=20200523201340
58,16,주얼리,목걸이/펜던트,FUNFROMFUN,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200623/1494051/1494051_1_500.jpg?t=20200623114436
59,16,주얼리,팔찌,LINKY LABORATORY,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200420/1410858/1410858_1_500.jpg?t=20200428103456
60,16,여성 가방,숄더백,FUNFROMFUN,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200623/1494105/1494105_1_500.jpg?t=20200623131909
61,16,양말/레그웨어,양말,MUSINSA STANDARD,,0,여,,,,,https://image.msscdn.net/images/goods_img/20191231/1260397/1260397_1_500.jpg?t=20200114154637
62,16,스니커즈,캔버스/단화,VANS,,2020 S/S,남 여,,,,,https://image.msscdn.net/images/goods_img/20200619/1490729/1490729_3_500.jpg?t=20200629171147
63,17,상의,긴소매 티셔츠,CURRENT,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20210224/1811837/1811837_1_500.jpg?t=20210226182754
64,17,주얼리,목걸이/펜던트,TAKEMEHOME SEOUL,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210613/1993470/1993470_1_500.jpg?t=20210613191916
65,17,여성 가방,숄더백,ARCHIVEPKE,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200813/1547526/1547526_1_500.jpg?t=20200813184409
66,17,신발,힐/펌프스,PSMARYJANE,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20201013/1645748/1645748_1_500.jpg?t=20210210124001
67,18,아우터,무스탕/퍼,LARTIGENT,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210906/2111078/2111078_1_500.jpg?t=20210906162040
68,18,바지,숏 팬츠,MEKAIV,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210822/2078684/2078684_1_500.jpg?t=20210822170213
69,19,아우터,슈트/블레이저 재킷,MMIC,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210825/2087734/2087734_1_500.jpg?t=20210825163609
70,19,상의,긴소매 티셔츠,PLAMM,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20210830/2097791/2097791_1_500.png?t=20210830150900
71,19,스커트,미디스커트,LOW CLASSIC,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210702/2017524/2017524_1_500.jpg?t=20210809163553
72,20,상의,기타 상의,NOT YOUR XXX BY NOT YOUR ROSE,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20210401/1874998/1874998_1_500.jpg?t=20220628161454
73,20,액세서리,마스크,POPME,,2021 ALL,라이프,,,,,https://image.msscdn.net/images/goods_img/20210408/1888035/1888035_1_500.jpg?t=20210823181038
74,20,주얼리,목걸이/펜던트,LE MASQUE,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210108/1741298/1741298_1_500.jpg?t=20210108181856
75,20,여성 가방,숄더백,LOUIE OOIE,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210408/1888586/1888586_1_500.jpg?t=20220628161630
76,20,신발,샌들,DR.MARTENS,,2019 S/S,남 여,,,,,https://image.msscdn.net/images/goods_img/20190411/1010924/1010924_1_500.jpg?t=20190424172747
77,21,아우터,기타 아우터,STEP AROUND,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210828/2096096/2096096_1_500.jpg?t=20221102115054
78,21,아우터,카디건,KOLEAT,,2022 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210901/2103956/2103956_1_500.jpg?t=20220628163925
79,21,바지,데님 팬츠,UNIFORM BRIDGE,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210901/2103550/2103550_1_500.jpg?t=20210902095851
