,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
32,6,바지,기타 바지,UNIFORM BRIDGE,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210915/2132128/2132128_1_500.jpg?t=20210915121412
33,6,주얼리,반지,QUARQOR,,2020 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20201209/1717848/1717848_1_500.jpg?t=20201209141235
34,6,가방,메신저/크로스 백,BRADYBAGS,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20170314/498896/498896_1_500.jpg?t=20210305175130
35,6,스니커즈,캔버스/단화,GRAPHERIES,,2021 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20211118/2239013/2239013_2_500.jpg?t=20220614004915
36,7,아우터,블루종/MA-1,ALPHA INDUSTRIES,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20160912/411214/411214_10_500.jpg?t=20221006082558
37,7,아우터,트러커 재킷,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20200207/1295864/1295864_1_500.jpg?t=20200207110207
38,7,상의,반소매 티셔츠,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20200506/1431945/1431945_3_500.jpg?t=20201109180556
39,7,바지,데님 팬츠,86ROAD,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211122/2243628/2243628_2_500.jpg?t=20211206110100
40,7,선글라스/안경테,안경,NONPICK,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20211227/2283433/2283433_3_500.jpg?t=20220921144714
41,7,주얼리,반지,CUNASON,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220112/2305096/2305096_1_500.png?t=20220112171606
42,7,가방,토트백,JENNER,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210715/2030759/2030759_1_500.jpg?t=20210715185025
43,7,신발,부츠,REDWING,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210907/2114455/2114455_2_500.jpg?t=20220609141634
44,8,아우터,기타 아우터,LAFUDGESTORE,,0,남 여 라이프,,,,,https://image.msscdn.net/images/goods_img/20211115/2232649/2232649_3_500.jpg?t=20211202165415
45,8,상의,셔츠/블라우스,XTONZ,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210915/2132549/2132549_4_500.jpg?t=20211001143409
46,8,가방,메신저/크로스 백,CARGOBROS,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20211001/2158920/2158920_4_500.jpg?t=20221021115538
47,9,아우터,사파리/헌팅 재킷,CHADPROM,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211127/2250662/2250662_1_500.jpg?t=20211127103542
48,9,상의,니트/스웨터,EZIO,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211025/2195464/2195464_1_500.jpg?t=20211025120509
49,9,바지,슈트 팬츠/슬랙스,NONBLANK,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210901/2101908/2101908_1_500.png?t=20220106114428
50,9,액세서리,머플러,ACUD,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20211119/2241376/2241376_1_500.jpg?t=20211119123835
51,9,가방,브리프케이스,TANTIN,,0,남,,,,,https://image.msscdn.net/images/goods_img/20201005/1633548/1633548_1_500.jpg?t=20211126154550
52,9,신발,구두,BSQT by Classy,,0,남,,,,,https://image.msscdn.net/images/goods_img/20170822/606329/606329_2_500.jpg?t=20220414150247
53,10,상의,피케/카라 티셔츠,MELANGE MASTER,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220419/2500337/2500337_2_500.jpg?t=20220421162333
54,10,바지,코튼 팬츠,GLW,,2021 F/W,남 여,,,,,https://image.msscdn.net/images/goods_img/20210812/2060759/2060759_4_500.jpg?t=20211116105407
55,10,모자,캡/야구 모자,COVERNAT,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220113/2306819/2306819_2_500.jpg?t=20220118132404
56,10,주얼리,팔찌,PIGANDHEN,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210407/1886504/1886504_3_500.jpg?t=20221031185358
